Beer,Rating,Review_Count,Style_1,Brewery,ABV%,IBU,Description
Erotic Sophistication,3.9107142857142856,16,IPA,Sideswipe Brewing,8.2,5,"Fruited Hazy Double IPA hopped with Sabro, Ella, Galaxy & El Dorado."
Dank Costanza,3.908620689655172,32,IPA,Land-Grant Brewing Company,8.9,0,"You wanna piece of Dank? You got it! We hatched up this scheme of a Double IPA using Strata, Columbus, and Amarillo hops bring loud, in-your-face Grapefruit aromatics and flavor to the table. So grab a periodical, kick back and find some hoppy serenity, now. Show Less"
Deflate Gate,3.906603773584906,56,IPA,Somewhere In Particular Brewing,6.5,0,"El Dorado, simcoe, citra hops"
Mexican Lager,3.905882352941177,19,Lager,Parsons North Brewing Company,5.0,30,"Light, Smooth and Full. This Welcoming Mexican Lager goes great with tacos, burritos, quesadillas, tamales, nachos, chicken mole, tlayuda, pastor, pibil, enchiladas, chille relleno, pozole, chilaquiles, chapulines, guacamole, tomatillo salsa, tostadas and empanadas. Show Less"
Discount Nachos (2022),3.9047619047619047,21,IPA,Hoof Hearted Brewing,7.3,0,"Heinously DDH with Bru-1, Citra, El Dorado and Galaxy hops"
Nutty By Nature,3.9038461538461537,17,Brown Ale,Goodwood Brewing,6.0,23,
Daybreak,3.9035971223021586,145,Cream Ale,Wolf's Ridge Brewing,5.0,14,"SILVER 2021 GABF
GOLD 2020 GABF
SILVER 2019 GABF

GOLD 2021 US Open Beer Championship

*plus many other accolades from every year we've been making Daybreak!

Just as the break of a new day ushers in endless possibilities, this provocative variant of our popular Clear Sky Cream Ale awakens new and intriguing tastes. We infuse our pre-prohibition styled ale with light roast beans from Columbus’ own One Line Coffee in addition to robust vanilla. What results is an aroma that defies convention and a flavor that opens up like the new morning. Show Less"
Cosmic Fog,3.902173913043478,25,IPA,2 Tones Brewing Company,8.4,40,"An easy drinking, extreme hopped experimental DIPA. A heavy dose of hops create a citrus forward profile along with pungent tropical fruits and a touch of dank. Show Less"
COCO-BERRY JESUS,3.8960000000000004,25,Stout,Holy Trinity Brewing Co,9.6,32,"Gluttony is a sin, but that is immediately forgiven with this brew. One of our flagships, this raspberry forward and slightly sweet stout with a toasted coconut presence will lead anyone to multiple sins but be careful as this high gravity stout will catch up to you in a hurry. Being served on Nitro only makes it go down easier so if you want more than two you will need a designated driver to take the wheel. Show Less"
BIG SKY DADDY,3.895348837209302,47,IPA,Holy Trinity Brewing Co,7.5,71,"Once upon a time there was an IPA. This IPA got tired of being ""West Coast"" and being ""Hazy"" so this IPA asked his higher power to make him something new or better. Big Sky Daddy responded and made this better version of the IPA and the ""Cold IPA"" was born. Starring six amazing hop varieties, adding rice to the grain bill, and getting carbonated the old fashioned way through krausening is what makes this style different. So, come on over to the cold side with the new Big Sky Daddy. Show Less"
Kinetic Satisfaction,3.8947368421052633,20,IPA,Sideswipe Brewing,6.5,0,"A pale yellow cloudy IPA with lots of hop flavor without the added bitterness. Dry-Hopped with Citra, Mosaic, and Ella. Show Less"
Slø Turbø,3.894230769230769,28,IPA,Hoof Hearted Brewing,8.5,0,"Unleaded super diesel icon ""Heavy Nelson"" slides off from the stage and into the crowd. He's locked eyes on Gary and needs to strike while the lights stay low.

""Pizza Pizza Pizza"", he croons as a conga line grows behind him. Looking back, two thoughts occur in quick succession. The first: DIPA's hopped exclusively w/ New Zealand varietals and a laser-focus on Nelson Sauvin make all the girls want to get to know you. The second: he's only got one chance to make this right for everybody.

""Heyyyy Gary from back the office who likes to order broccoli on the casual Friday staff pizza and only takes one piece for himself.."" Dipa with whole cone Southern Hemisphere Hops Show Less"
SunRaze,3.892857142857143,23,Pale Ale,2 Tones Brewing Company,4.7,30,
Blitz Pop,3.892857142857143,28,Sour,Somewhere In Particular Brewing,6.5,0,"""Bomb Pop"" Fruited Sour Ale brewed with Cherry, Lime and Raspberries. 6.5% ABV."
Hazy Miss Daisy,3.889344262295082,65,IPA,Zaftig Brewing Co.,7.0,43,"Formerly One Night Stand batch #136. The tart juiciness created from her Amarillo and Mosaic hops, the light haze she has from the East Coast Style yeast makes Hazy Miss Daisy so exquisite, we just had to bring her back. Enjoy! Show Less"
Walnut Brown Ale,3.888961038961039,78,Brown Ale,Goodwood Brewing,6.0,23,"You’ll go totally walnuts over this oak-aged, walnut-seasoned brown ale. Made with a brewing style that dates back to 16th-century England and using a blend of six choice malts and two English hops, Goodwood Walnut Brown Ale features notes of caramel and chocolate with a finish that is – you guessed it – pleasingly nutty.
Show Less"
IPA,3.886301369863014,538,IPA,Columbus Brewing Company,6.3,60,"Pale orange, with grapefruit, pine, and tropical fruit aromas

India Pale Ales were originally brewed to withstand long ocean voyages by increasing the quantity of hops and malt used in their Pale Ale predecessors. Our take on IPA pours pale orange with a balanced malt presence and finishes with a combination of grapefruit, pine, and tropical fruit notes from Pacific Northwest grown hops. Show Less"
Boo Thang,3.8862745098039215,54,Pumpkin / Yam Beer,Saucy Brew Works,8.5,0,"A full bodied, amber-colored ale, brewed with real pumpkin purée and spices, that comes in at a monster 8.5% ABV! Soft caramel sweetness up front fades into a sturdy malt back bone and finishes with cinnamon, nutmeg and a touch of ginger. Show Less"
Cosmic Sauce,3.8842465753424658,78,IPA,Saucy Brew Works,8.5,0,"Tropical, juicy, and soft with a touch of alcohol heat with intense amounts of oat and wheat Show Less"
Jimmy Dick’s Mango Meltdown,3.8833333333333333,60,Fruit Beer,Zaftig Brewing Co.,6.5,0,
Dire Wolf,3.8825581395348836,47,Stout,Wolf's Ridge Brewing,10.8,50,"2017 Gold: Beer Army Beer Wars

2016 Silver Medal: Best of Craft Beer Awards

2015 Gold Medal winner: San Diego International Beer Competition

Canis Dirus, or ""fearsome dog,"" is the scientific name for the Dire Wolf. One of the largest known breeds of wolf, the Dire Wolf went extinct at the end of the last ice age. Similarly, the Russian Imperial Stout was a beer style destined for extinction until craft brewers in America began to resurrect historical styles. Our Imperial Stout is named for the Dire Wolf because it is big, bold, and fearsome. Brewed with copious amounts of oats and brown sugar. Black as night with a dense tan head and chewy texture. Notes of dark chocolate, caramel, and espresso stand against a hefty bitterness to balance this monstrous beer. Show Less"
LAST BREAKFAST,3.88125,17,Stout,Holy Trinity Brewing Co,10.4,59,"The last supper is forever remembered in a painting, but the Last Breakfast will be forever remembered by your taste buds. This powerful stout is loaded with smooth malts, maple syrup and finished with cold brewed bourbon barrel coffee from Backroom Coffee Roasters to wake you up in the morning (or the evening). Please be careful drinking these as they will catch up to you before you know it! Show Less"
Spazzin' Out In the Basement,3.879245283018868,55,Lager,Hoof Hearted Brewing,7.2,0,
Passion Fruit La Playa,3.8782608695652177,25,Fruit Beer,Columbus Brewing Company,4.5,0,"Tart golden ale brewed with wheat, passion fruit, and sea salt. Notes of citrus, strawberries, and passion fruit. Show Less"
Parade Float,3.876190476190476,65,IPA,Derive Brewing Company,8.5,0,DDH DIPA with Riwaka and Motueka hops. 8.5% ABV.
Tropical Tailwind,3.875,39,Stout,Columbus Brewing Company,6.1,0,A balanced stout ale conditioned on toasted coconut
"Love You, Bye",3.875,185,IPA,Saucy Brew Works,8.0,80,"Medium bodied, permanently hazy and straw yellow. Bright flavors of fresh pineapple, melon, and ripe mangos, with the perfect amount of lingering sweetness.
Show Less"
3rd Rail Hazy Pale Ale,3.8693548387096777,64,Pale Ale,Crooked Can Ohio,5.3,20,Easy drinking. Citrus fruit hop flavor and aroma.
Thunderkiss Morning Froth,3.867777777777778,91,Cream Ale,Derive Brewing Company,5.5,25,"Cream ale with Thunderkiss Coffee's Ethiopia Sidama Natural Bourbon Finished (In Middle West Spirits Dark Pumpernickel Rye Whiskey Barrels), Cinnamon, Vanilla Bean, and Lactose. Show Less"
Cucumber Crop,3.8660714285714284,30,Blonde Ale,North High Brewing,4.5,12,
Toe Beans,3.8653846153846154,42,IPA,Taft's Brewing Company,6.2,47,"Toe Beans is the first in our Feline Friends IPA series. Brewed with 5# of hops per barrel, this beer will be sure to make you purr. BRU-1 and Sabro hops combine to create flavors of coconut, pineapple, orange, lime, and a hint of mint. Show Less"
Peanut Butter Stout,3.8645833333333335,26,Stout,North High Brewing,6.0,0,American stout with peanut butter. You can't go wrong. Unless you don't like peanut butter. Or stouts. Im jus sayn. Show Less
Tarnished Elden Lord,3.863095238095238,45,IPA,Somewhere In Particular Brewing,7.5,0,"Traditional west coast ipa with Amarillo, Simcoe, and Chinook hops"
Ache,3.8622222222222224,96,Sour,Heart State Brewing,5.5,0,"Orange Creamsicle Sour

Brewed with orange and vanilla.

Crisp, tart, fruity and sweet.

Float in on clouds of orange and vanilla. Show Less"
What're You Doing Here,3.8592105263157896,82,IPA,Land-Grant Brewing Company,7.0,0,"Take the Six Seven Oh to the Three One Five and take that on down to Town Street and cruise east til you catch the rich aroma of hops on the breeze. This IPA, fashioned after the classic West Coast IPAs that defined craft beer in the 2000s. Cascade, Amarillo, Centennial, and Summit hops give this beer a resinous grapefruit character with a bitter and clean finish. Show Less"
Nobel Amalgamation,3.8576086956521736,59,Lager,Pretentious Barrel House,7.9,0,"A barrel aged lager brewed with our friends at Land Grant. The beer was lagered in gin barrels for 13 weeks. The final product has a beautiful balance of oak, malt, and botanicals. Nuanced and interesting yet familiar and approachable. Show Less"
Culmination,3.857142857142857,15,Sour,Pretentious Barrel House,7.1,0,Our dark sour handles age better than our blonde and red recipes. It is able to reach several years of age without becoming too acetic or oxidized. This is the oldest blend we have ever released and it is paired with the rich flavor of Apricot. Show Less
Friends Out West,3.8559523809523806,44,IPA,Derive Brewing Company,7.5,0,"Friends Out West (7.5%) is a Double Dry-hopped New England IPA brewed with a base of pilsner malts and a copious amounts of malted spelt and flaked oats. We then hopped with beer with tons of our favorite dank and sticky varieties from our Friends Out West, Simcoe, El Dorado, Mosaic and the most aromatic Citra we could find. We then double dry-hopped this beer with the aforementioned hops at a dangerous level of 6 lbs per barrel. We get, orange zest, orange julius, dank pineapple Sunday smoothies and pithy grapefruit scoops. Show Less"
Uncappd,3.8552631578947367,24,Lager,Sideswipe Brewing,5.2,20,If you don't post about it did you even drink it?
SNEAKY JESUS,3.8549999999999995,22,Belgian Tripel,Holy Trinity Brewing Co,8.5,21,"Jesus is always around, but when you drink a couple of these easy going brews he will sneak up on you and before you know it you'll be on the floor. What a prankster! This Tripel is a pleasure to drink with friends and tell stories. Those of you that aren't sure about Belgian styles, add this one to your flight and you will start enjoying! Show Less"
Marathon,3.8541666666666665,28,Lager,Seventh Son Brewing Company,3.0,0,
Liquid Gold,3.8541666666666665,25,IPA,Somewhere In Particular Brewing,9.2,0,
Club Paradise (Navy Grog),3.8529411764705883,17,Sour,Hoof Hearted Brewing,5.5,0,"Imperial ‘Tiki’ Sour Ale with sweet cherry, orange, grapefruit and lime purée added. Inspired by the Navy Grog cocktail. Show Less"
UDF Strawberry,3.851923076923077,30,IPA,Taft's Brewing Company,7.2,68,Strawberry Milkshake IPA
The Whole Carton,3.850925925925926,58,Stout,Saucy Brew Works,7.3,0,"Full-bodied stout on nitro with a soft toasted coconut nose, deep roasty notes, and a silky and lightly salty finish Show Less"
Capital Companions,3.849056603773585,114,IPA,Land-Grant Brewing Company,6.8,0,"Like birds of a feather, you'll always find Columbus and Mosaic hops aflight upon the aromatic winds of dank citrus and resinous tropical fruit. These airborne companions blow in a foggy, hazy cloud of huge flavor and juicy vibes throughout the Capital City. Show Less"
UDF Milkshake IPA,3.846296296296296,118,IPA,Taft's Brewing Company,6.6,30,"United Dairy Farmers meets Big Billy Taft in a delicious mashup. This hoppy and creamy milkshake IPA is brewed with heaps of hops, lactose, oats, and flaked wheat to bring you a refreshing, adults-only treat. Show Less"
Glad Hands,3.846296296296296,59,Pale Ale,Derive Brewing Company,5.5,51,"Hazy Pale Ale- Malt: Pilsner, Oats, Spelt. Hops: Citra, Mosaic, El Dorado, Simcoe"
Break,3.8456043956043953,98,IPA,Heart State Brewing,6.5,0,"Brewed with Mosaic, Simcoe and Citra hops.

Soft, tropical, juicy and easy.

Just the way we like 'em. Show Less"
Heartfelt,3.8445945945945947,78,IPA,Seventh Son Brewing Company,7.0,0,
Incarnadine,3.84375,17,Sour,Pretentious Barrel House,5.8,0,"Sour blonde with red and purple plums. Juicy and tart, the combination of these two plums give off a tropical fruit aroma and flavor. The bright pink color doesn't hurt either. Show Less"
Little Friends,3.8434782608695657,23,IPA,Derive Brewing Company,6.8,0,DDH HAZY IPA
Lemongrass Wit,3.8425925925925926,57,Wheat Beer,Seventh Son Brewing Company,4.9,10,"A new-world spin on the classic Belgian Wit. Lemongrass, lime leaves and Lemondrop hops combine with fresh ground coriander to give this quenching wheat ale a citrusy zip. Show Less"
Jim Loves A Blonde Ale,3.8400000000000003,16,Blonde Ale,Spires Social Brewing Co.,5.7,0,Our blonde ale was brewed to be an easy drinker. It is lightly hopped with a malty sweetness and bready finish. You'll definitely have more fun pairing up with this one. Show Less
Closet Troll,3.838709677419355,34,Stout,Zaftig Brewing Co.,11.0,0,"Rich, dark, and mysterious - Closet Troll is not only robust, but rages with notes of roasted barley & chocolate with an earthy bitterness that seeks to overwhelm the drinker, but is cleverly balanced by the milk sugars to finish perfectly. Show Less"
Berry Shandy,3.8333333333333335,19,Shandy / Radler,North High Brewing,4.9,16,An infusion of organic blackberry juice locally handmade by our friends at Simple Times. Show Less
League Night,3.8333333333333335,25,Golden Ale,Forbidden Root Brewing Company,5.7,0,Tart Golden ale with Raspberry and Lemon
Melodious,3.8328125,34,Sour,Pretentious Barrel House,7.6,0,"Our dark base with sweet cherries. This is our first time using sweet cherries, but not our last. This beer smells of cherry skins and has a roasty, dry finish. Show Less"
Bourbon Barrel Stout,3.8325842696629215,95,Stout,Goodwood Brewing,8.0,33,"This silky American stout has notes of oak, dark roasted malts and, of course, bourbon. Roasted barley produces chocolate and coffee flavors with a lasting vanilla finish. Show Less"
"Who’d Like To Hold My Clipboard? (Mango, Peach & Vanilla)",3.8323529411764707,37,IPA,Hoof Hearted Brewing,9.0,0,
I Can Teach Blue 2022,3.831967213114754,64,IPA,Saucy Brew Works,7.5,0,"Brewed with wheat, two types of oats, and milk sugar for a thick, milkshake like body. Sabro hops are added to bring out berry and tropical notes, then we finish this beer with loads of fruit purée and vanilla beans. A soft and Smooth IPA with mild bitterness, blueberries and vanilla on the finish. Show Less"
Bend & Snap,3.829861111111111,79,IPA,Saucy Brew Works,7.0,0,"A beautiful deep gold American IPA, with hop notes of peach, blackberry and deep hop resin Show Less"
For the Cause,3.8289473684210527,19,IPA,Columbus Brewing Company,7.5,0,"Hazy IPA brewed with Talus, Strata, and Columbus Cryo hops. Proceeds support Pelotonia and cancer research. Show Less"
2022 Haze Odyssey,3.828125,16,IPA,Barley's Brewing Company (Brew Pub),6.0,0,
Mullet Wrangler,3.8275862068965516,31,IPA,Sideswipe Brewing,6.9,60,This ‘Merican IPA is packed full of hoppy freedom juice!
Helmet Nachos,3.8260869565217392,24,IPA,Hoof Hearted Brewing,8.0,45,
2001: A Haze Odyssey,3.8260869565217392,24,IPA,Barley's Brewing Company (Brew Pub),6.5,0,
Indigenous,3.8241379310344827,31,Sour,Pretentious Barrel House,6.9,0,"Since modern beer orginates from Europe, the ingredients tend to mirror that. We believe that beer should try and reflect the local flora and fauna. Our local maltster Matt Cunningham of Rustic Brew Farm produced some lovely malted corn for us. After over 11 months in barrels, we got this wonderful beer that highlights the barrel and local malt. We plan to further explore this style while highlighting more native grains in the future. Show Less"
Howdy Howdy,3.823529411764706,19,Pale Ale,Seventh Son Brewing Company,5.2,0,
Summer At Grandma's,3.8220588235294115,36,Farmhouse Ale,Derive Brewing Company,5.0,32,A classic and refreshing Saison conditioned on strawberry puree and rhubarb.
Prickle Rick Sour,3.8208333333333337,36,Sour,Somewhere In Particular Brewing,7.0,0,
Limit Break,3.820588235294118,92,Sour,Wolf's Ridge Brewing,5.5,8,Berliner Weisse brewed with blackberry and key lime. Sold in 16oz 4-packs.
Septemberfest,3.8199029126213593,108,Festbier,Wolf's Ridge Brewing,5.7,0,
Dunkel Rico,3.8193548387096774,33,Lager,Taft's Brewing Company,5.2,25,"Brewed with prized Barke Munich malt with notes of bread crust, dark caramel, and toasted nuts. This dark lager will have you throwing over the mountains and winning state. Show Less"
Stone Fort,3.8191176470588233,37,Brown Ale,Seventh Son Brewing Company,5.0,21,"A toasty oat brown ale w/accessible English ale character and a smooth blend of light roast coffee, cocoa, leather biscuit flavors. Named for the oldest structure in Ohio. Show Less"
Massive,3.818803418803419,131,Pale Ale,Land-Grant Brewing Company,5.0,28,"Chosen from four recipes by the passionate supporters of Columbus Crew SC and brewed with Club and City in mind, Massive is a Juicy Pale Ale with Mosaic, Citra, and Cashmere Hops.

At each home Crew match rise up, be Massive and join Columbus Crew SC in recognizing the brave men and women of our armed forces through the team’s Hometown Heroes program presented by Land-Grant Brewing Company. Glory to Columbus, indeed. Visit crew.sc/hero to learn more about the program, and nominate your own Hometown Hero. Show Less"
2 Tones IPA,3.8125,16,IPA,2 Tones Brewing Company,7.0,52,"2 Tones flagship IPA. An easy drinking, hop-forward ale with a tropical and citrus profile. Moderately bitter with a dry, yet deceptively sweet hop candy finish. Show Less"
Who's In Charge Here?!,3.812244897959184,53,IPA,Seventh Son Brewing Company,7.7,0,Hop forward with a pop of tropical flavors
Taft's Fruit Tarts: Blueberry Lemon,3.808333333333333,97,Fruit Beer,Taft's Brewing Company,5.0,5,"Introducing Taft's Fruit Tarts!
Our first flavor will knock your socks off. Our Fruit Tarts Blueberry Lemon Ale is bursting with real fruit flavors. Punches of juicy blueberry and lemon shine through in every sip! Show Less"
Derive Vanilla Nitro Gaslit Pathways,3.8078947368421048,19,Porter,Derive Brewing Company,5.6,0,
Margarita La Playa,3.8078947368421048,39,Fruit Beer,Columbus Brewing Company,4.5,0,"Tart golden ale brewed with wheat, lime concentrate, and sea salt."
Say Watt,3.8076923076923075,15,Kellerbier / Zwickelbier,Edison Brewing Company,5.5,0,James in the Raw form. This unfiltered Helles offers you the taste of the kettle. Yeast and hops characteristics makes the hazy lager taste quite different than the pale version. Show Less
Rivergoat Maibock,3.8060606060606057,38,Bock,Goodwood Brewing,7.2,21,An amazing Maibock brewed with the 2022 Bockfest in mind.
Stiff-Arm IPA,3.8043478260869565,24,IPA,Land-Grant Brewing Company,6.4,50,"Like a palm to your jaw, our American IPA delivers a jolt of hoppy goodness. An ale as well rounded as any All-Timer, our Stiff-Arm IPA combines all of its talents: All American hops, fragrant aromas of citrus and pine, a clean finish, and an uncanny sense of balance provided by a nice malt backing. It’s a classic American beer that will have you striking the pose year-round. Show Less"
UDF Strawberry Milkshake IPA,3.8,47,IPA,Taft's Brewing Company,6.6,30,"Punches of juicy strawberries shine through heaps of hops, lactose, oats, and flaked wheat for a new twist on a classic Cincinnati treat. Show Less"
Creamsikölsch,3.798780487804878,183,Kölsch,Land-Grant Brewing Company,4.9,24,"The return of an old favorite. We first brewed our take on the creamsicle back in 2015, and now it has finally arrived in cans. A crisp Kölsch backbone serves up intense summer-friendly aroma from the addition of orange and vanilla beans. These flavors blend together in such sweet nostalgic harmony, you can almost hear the ice cream truck coming down the street. Scrounge up some change, and enjoy a refreshing Creamsikölsch, there’s nothing better. Show Less"
Starlight Navigation,3.7979532163742693,177,IPA,Wolf's Ridge Brewing,6.6,23,"This IPA was brewed with distinctive Southern Hemisphere hops: Nelson Sauvin and Galaxy. The hops traveled the world to arrive in your glass. We named the beer as an ode to the brave seafarers who used to guide their ships by the light of distant stars from our galaxy and beyond. Juicy, tropical hop notes mingle with peach, white grape and pine flavors. Show Less"
Hefe & Wedge,3.7977777777777777,50,Wheat Beer,Wolf's Ridge Brewing,5.2,12,Our Hefeweizen infused with fresh orange.
Overcompensator,3.7941176470588234,17,Bock,Crooked Can Ohio,7.3,18,"Dark lager with an abundance of flavor. Chocolate, raisin, and toast."
AlvAnother,3.7916666666666665,27,Scottish Ale,Edison Brewing Company,5.7,0,"A Scottish Ale with a soft, malty, creamy body. Caramel and butterscotch aroma notes; flavor of malt, caramel with a touch of molasses. Just enough subtle dryness in the finish to balance the maltiness. Show Less"
Hefeweizen,3.790566037735849,56,Wheat Beer,Wolf's Ridge Brewing,5.0,14,"Bronze medal 2017: Beer Army Beer Wars

Our classic Hefeweizen is brewed in the traditional German manner. The malt bill is primarily composed of German wheat. Hop additions are kept low to accentuate the yeast characteristics. Bright sunny aromas of banana and clove mingle with a light bodied golden wheat flavor. Notes of fresh citrus also come forth through the lively carbonation. Traditionally unfiltered. Best enjoyed with brunch, lunch, or anytime several beers are preferable to one strong beer! Show Less"
Hopelessly Awake,3.789473684210526,20,Blonde Ale,Sideswipe Brewing,4.5,15,Blonde ale infused with coffee and vanilla.
Lil Vata,3.7892156862745097,55,Lager,Ohio Brewing Company - Columbus,4.6,10,MEXICAN LAGER – A crisp and refreshing Mexican-style lager. Goes great with sunburns and sandy toes. Show Less
Joe Brrr,3.7880434782608696,51,Lager,Taft's Brewing Company,6.4,55,"We brewed this one cold in honor of Joe Cool. Mosaic and Sabro give notes of coconut, blueberries, and sweet tropical fruits. Pairs perfectly with a victory cigar. Show Less"
The Scientist,3.7866438356164385,157,IPA,Seventh Son Brewing Company,7.0,75,"A light bodied, hop forward IPA... constantly shifting. Each batch has one ingredient changed from the last. Expect changes as we find the right balance of hop notes Show Less"
Humulus Nimbus,3.786075949367089,168,Pale Ale,Seventh Son Brewing Company,6.0,53,"A pale golden ale that is both super crisp and super hop forward with a refreshing mouthfeel and a summer friendly 6% abv. Mosaic & simcoe hops lend tart blueberry and fragrant pine to a pleasingly bitter dandelion finish. We wanted the hops to be the star in this seasonal offering taking its name from both the hop plant, Humulus Lupulus, and its light color and cloud-like feel, nimbus.
*Pairs well with a wide range of foods from roast chicken to burgers to fish and chips, appropriate cheeses could range from a mild blue such as Gorgonzola to a traditional cheddar or Derby with Sage. Show Less"
Purple Pils,3.782608695652174,26,Pilsner,Forbidden Root Brewing Company,5.1,0,Brewed with lavender and violets.
High Stepper,3.781481481481481,27,IPA,Crooked Can Ohio,7.0,75,Piney hop bitterness with a refreshing citrusy finish.
Desert Spoon,3.7809523809523813,48,Lager,Pretentious Barrel House,8.0,0,"Cheers to our friends at Land Grant for trying new things with us! Prior to this collaboration we had never heard of Sotol. It is a spirit native to Mexico and derived from the Sotol plant or ""desert spoon"". After 13 weeks in the barrel the resulting beer is soft and complex; perfect for the hot weather, and could even be accentuated with a lime wedge. Show Less"
Life In The Lime Light,3.7794117647058822,18,Sour,Somewhere In Particular Brewing,5.7,0,"Sour Ale Brewed with Tangerine Puree and Fresh Lime Juice. Tart, Crisp, Refreshing Sour With Lime up front and Tangerine finish. Show Less"
"America, Helles Yeah!",3.779166666666667,16,Lager,Grove City Brewing Company,5.0,17,"This German helles lager is a collab with our friends at Goodwood Brewing. We love German lagers and love America. Coming out around July 4th, this crisp drinking, bready helles will be the beer to cheers with at this celebratory time of year. Show Less"
Pride & Joy,3.7785714285714285,24,Fruit Beer,Taft's Brewing Company,4.6,13,The 2022 version of our annual Pride beer is brewed with buckets of Kabosu juice(think Japanese lime) and Tangerine purée. Help celebrate Pride across the Queen City and across Ohio! Show Less
Too Cans,3.776190476190476,21,IPA,Zaftig Brewing Co.,13.0,67,"Not your typical IPA. We take an extreme amount of grain and hops to produce this full-bodied and well proportioned beer that defines Zaftig. Too Cans has a blend of floral and citrus hop aroma, malty caramel taste with a clean finish leaving you thirsty for more. Show Less"
Hopes,3.7746913580246915,93,IPA,North High Brewing,7.3,48,"Although it may not have turned out quite as hazy as we’d hoped, this is one outstanding NEIPA. Show Less"
Cloud Spell,3.774193548387097,31,Pale Ale,Columbus Brewing Company,5.1,0,"Hazy pale ale brewed with Omega Sun Dew yeast, Citra, Azacca, and El Dorado."
Parking Lot Carnival,3.7738636363636364,47,IPA,Derive Brewing Company,6.7,0,
CALL THE DOCTOR LORD,3.77258064516129,36,Kölsch,Holy Trinity Brewing Co,5.0,22,"You put the lime in the coconut then what do you do? This smooth summer splash brewed in the Kolsch style will have everyone asking what to do which begs the question, do you ""Call the doctor, Lord?"" or do you ""Call the Doctor Lord???"" Show Less"
B.F. HEFE,3.7715686274509803,52,Wheat Beer,Saucy Brew Works,5.5,0,"Light to medium bodied with a wheaty, banana-like flavor."
Orange Creamsicle Double Ache,3.7698275862068966,61,Sour,Heart State Brewing,7.8,0,
Zappa Hops IPA,3.7683673469387755,52,IPA,North High Brewing,7.0,0,
Juicy Asap,3.7671206225680933,275,IPA,Saucy Brew Works,6.5,0,"Our best selling IPA is deep gold in color, with an opaque sheen. Dripping with ripe mango, orange peel and a finish of dank hops, with a crisp, refreshing bitterness. Show Less"
Mainstream Exotic,3.7670454545454546,49,Sour,Forbidden Root Brewing Company,4.5,0,"Delightfully sour, bright, and refreshing. Mainstream Exotic combines a tart low-alcohol base beer with Feijoa, a South American fruit with notes of mint, apples and pineapple. Show Less"
Club Paradise Imperial ‘Tiki’ Sour Ale,3.7666666666666666,17,Sour,Hoof Hearted Brewing,8.0,0,"Imperial Sour Ale with pineapple, blood orange, blackberry, and lime added."
Electric Lettuce,3.766,136,IPA,Saucy Brew Works,7.5,0,"As this wafts past your nose, enjoy the aroma of grapefruit, pine, and orange with undertones of peach. Flavors of melon, grapefruit, and sweet candy poise the assertive bitterness of this West Coast IPA. Show Less"
Florida Room,3.762121212121212,71,Pilsner,Hoof Hearted Brewing,5.0,0,"Dry-hopped Pilsner made with 100% Pilsner malt, grown in Ohio, and hopped with Huell Melon!! A new German hop that has hints of...melon! Show Less"
Oktubberfest,3.760204081632653,51,Festbier,Taft's Brewing Company,5.7,30,Our Festbier shines a deep golden orange with German malts and hops in all the right places. Show Less
Kölsch,3.7596153846153846,29,Kölsch,Parsons North Brewing Company,5.0,32,"Crisp, Dry, and Light. This Kölsch will leave you feeling Spry on a warm summer’s day. Show Less"
Mulberry Saison,3.7586206896551726,32,Farmhouse Ale,Parsons North Brewing Company,7.6,20,"Spicy, Balanced, and Smooth. Mulberry juice offers an Unconventional balance to the spice of the saison yeast. Show Less"
Tilt Back,3.7571428571428576,47,Lager,Wolf's Ridge Brewing,4.9,20,"Our extremely clean, malty red lager is the brainchild of brewer Francis Kunkler. Designed to be easy drinking with classic German ingredients. Prost! Show Less"
Endless Haze,3.7545698924731186,196,IPA,Columbus Brewing Company,6.1,30,"Endless Haze is a smooth, easy-going hazy IPA. It’s your patio pal, grilling sidekick and wilderness companion. An easy-drinker best served in your natural element with laidback friends and a great view. The bright golden color gives way to a smooth haze while the aroma takes you to the tropics with juicy notes of pineapple, banana, stone fruit and citrus. It’s full-bodied, smooth and endlessly drinkable. Show Less"
JESUS WAS A SMOOTHIE,3.7527027027027025,38,IPA,Holy Trinity Brewing Co,7.1,40,"There was nothing Jesus liked more than putting fresh fruit in a blender with some ice and milk and enjoying it right before Yoga. Well, nothing he liked more except beer so we decided to bring it all together in this milkshake IPA. This double dry hopped IPA is loaded with lactose and a light strawberry finish and will easily be loved by IPA and non-IPA drinkers alike. Show Less"
Willy Goat,3.75,19,Bock,Edison Brewing Company,5.1,0,"Malty, with a balanced aroma of Munich, brown and colored malts. Light hop flavor with a dry finish. Show Less"
Mike’s Snobby Style,3.75,21,IPA,Goodwood Brewing,8.3,84,
Gavel Banger,3.748447204968944,176,IPA,Taft's Brewing Company,7.0,65,"American IPA brewed and dry hopped with heaps of Citra and Mosaic hops. Juicy, hoppy justice.

2019:
Gold - Ohio Craft Brewers Cup Show Less"
Standard Universe,3.746875,18,Wheat Beer,Derive Brewing Company,5.0,0,
Juicy Lucy,3.743258426966292,97,IPA,Zaftig Brewing Co.,7.0,42,Juicy Lucy is Zaftig's take on a traditional American IPA. This juice bomb is double dry-hopped with Rakau and Citra hops giving it a light fruity nose. It will keep people begging to mow their lawns! Show Less
